date,cmname,price,mktname,default
2/15/2010,Rice (coarse) - Retail,27.4286,Rajshahi Division,
3/15/2010,Rice (coarse) - Retail,27,Rajshahi Division,
4/15/2010,Rice (coarse) - Retail,26.6667,Rajshahi Division,
5/15/2010,Rice (coarse) - Retail,26.375,Rajshahi Division,
6/15/2010,Rice (coarse) - Retail,27.6667,Rajshahi Division,
7/15/2010,Rice (coarse) - Retail,29.25,Rajshahi Division,
8/15/2010,Rice (coarse) - Retail,29,Rajshahi Division,
9/15/2010,Rice (coarse) - Retail,31,Rajshahi Division,
10/15/2010,Rice (coarse) - Retail,32,Rajshahi Division,
11/15/2010,Rice (coarse) - Retail,32.3,Rajshahi Division,
12/15/2010,Rice (coarse) - Retail,32.6,Rajshahi Division,
1/15/2011,Rice (coarse) - Retail,33.4,Rajshahi Division,
2/15/2011,Rice (coarse) - Retail,33.16,Rajshahi Division,
3/15/2011,Rice (coarse) - Retail,32.5,Rajshahi Division,
4/15/2011,Rice (coarse) - Retail,32,Rajshahi Division,
5/15/2011,Rice (coarse) - Retail,31.33,Rajshahi Division,
6/15/2011,Rice (coarse) - Retail,28.8889,Rajshahi Division,
7/15/2011,Rice (coarse) - Retail,30.2,Rajshahi Division,
8/15/2011,Rice (coarse) - Retail,29.85,Rajshahi Division,
9/15/2011,Rice (coarse) - Retail,30,Rajshahi Division,
10/15/2011,Rice (coarse) - Retail,29.1667,Rajshahi Division,
11/15/2011,Rice (coarse) - Retail,29.4545,Rajshahi Division,
12/15/2011,Rice (coarse) - Retail,29.25,Rajshahi Division,
1/15/2012,Rice (coarse) - Retail,26.5833,Rajshahi Division,
2/15/2012,Rice (coarse) - Retail,26.25,Rajshahi Division,
3/15/2012,Rice (coarse) - Retail,25.7,Rajshahi Division,
4/15/2012,Rice (coarse) - Retail,25.3333,Rajshahi Division,
5/15/2012,Rice (coarse) - Retail,24.9167,Rajshahi Division,
6/15/2012,Rice (coarse) - Retail,24.2308,Rajshahi Division,
7/15/2012,Rice (coarse) - Retail,23.6154,Rajshahi Division,
8/15/2012,Rice (coarse) - Retail,23.2667,Rajshahi Division,
9/15/2012,Rice (coarse) - Retail,23.0667,Rajshahi Division,
10/15/2012,Rice (coarse) - Retail,23.5333,Rajshahi Division,
11/15/2012,Rice (coarse) - Retail,24.6429,Rajshahi Division,
12/15/2012,Rice (coarse) - Retail,24.64,Rajshahi Division,
1/15/2013,Rice (coarse) - Retail,25.11,Rajshahi Division,
2/15/2013,Rice (coarse) - Retail,29,Rajshahi Division,
3/15/2013,Rice (coarse) - Retail,28.5,Rajshahi Division,
4/15/2013,Rice (coarse) - Retail,27.72,Rajshahi Division,
5/15/2013,Rice (coarse) - Retail,27.54,Rajshahi Division,
6/15/2013,Rice (coarse) - Retail,27.3846,Rajshahi Division,
7/15/2013,Rice (coarse) - Retail,29,Rajshahi Division,
8/15/2013,Rice (coarse) - Retail,29.8,Rajshahi Division,
9/15/2013,Rice (coarse) - Retail,31.2857,Rajshahi Division,
10/15/2013,Rice (coarse) - Retail,31.7857,Rajshahi Division,
11/15/2013,Rice (coarse) - Retail,32.7857,Rajshahi Division,
12/15/2013,Rice (coarse) - Retail,30.73,Rajshahi Division,
1/15/2014,Rice (coarse) - Retail,31.91,Rajshahi Division,
2/15/2014,Rice (coarse) - Retail,32.0909,Rajshahi Division,
3/15/2014,Rice (coarse) - Retail,32.1818,Rajshahi Division,
4/15/2014,Rice (coarse) - Retail,31.89,Rajshahi Division,
5/15/2014,Rice (coarse) - Retail,31.6,Rajshahi Division,
6/15/2014,Rice (coarse) - Retail,31.75,Rajshahi Division,
7/15/2014,Rice (coarse) - Retail,31.9167,Rajshahi Division,
8/15/2014,Rice (coarse) - Retail,32.3846,Rajshahi Division,
9/15/2014,Rice (coarse) - Retail,32.75,Rajshahi Division,
10/15/2014,Rice (coarse) - Retail,33,Rajshahi Division,
11/15/2014,Rice (coarse) - Retail,33,Rajshahi Division,
12/15/2014,Rice (coarse) - Retail,30.8462,Rajshahi Division,
1/15/2015,Rice (coarse) - Retail,30.7143,Rajshahi Division,
2/15/2015,Rice (coarse) - Retail,30.1538,Rajshahi Division,
3/15/2015,Rice (coarse) - Retail,30.1538,Rajshahi Division,
4/15/2015,Rice (coarse) - Retail,26.5714,Rajshahi Division,
5/15/2015,Rice (coarse) - Retail,25.8182,Rajshahi Division,
6/15/2015,Rice (coarse) - Retail,25.45,Rajshahi Division,
7/15/2015,Rice (coarse) - Retail,25,Rajshahi Division,
8/15/2015,Rice (coarse) - Retail,25.23,Rajshahi Division,
9/15/2015,Rice (coarse) - Retail,25.46,Rajshahi Division,
10/15/2015,Rice (coarse) - Retail,26.23,Rajshahi Division,
11/15/2015,Rice (coarse) - Retail,25.86,Rajshahi Division,
12/15/2015,Rice (coarse) - Retail,24.55,Rajshahi Division,
1/15/2016,Rice (coarse) - Retail,24.82,Rajshahi Division,
2/15/2016,Rice (coarse) - Retail,25,Rajshahi Division,
3/15/2016,Rice (coarse) - Retail,23.9,Rajshahi Division,
4/15/2016,Rice (coarse) - Retail,23.1,Rajshahi Division,
5/15/2016,Rice (coarse) - Retail,22.9,Rajshahi Division,
6/15/2016,Rice (coarse) - Retail,22.9,Rajshahi Division,
7/15/2016,Rice (coarse) - Retail,25.45,Rajshahi Division,
8/15/2016,Rice (coarse) - Retail,28.62,Rajshahi Division,
9/15/2016,Rice (coarse) - Retail,32.1,Rajshahi Division,
10/15/2016,Rice (coarse) - Retail,34.1,Rajshahi Division,
11/15/2016,Rice (coarse) - Retail,34.23,Rajshahi Division,
12/15/2016,Rice (coarse) - Retail,33,Rajshahi Division,
1/15/2017,Rice (coarse) - Retail,33.36,Rajshahi Division,
2/15/2017,Rice (coarse) - Retail,34,Rajshahi Division,
3/15/2017,Rice (coarse) - Retail,35.3,Rajshahi Division,
4/15/2017,Rice (coarse) - Retail,37.2727,Rajshahi Division,
5/15/2017,Rice (coarse) - Retail,39.4167,Rajshahi Division,
6/15/2017,Rice (coarse) - Retail,40.85,Rajshahi Division,
7/15/2017,Rice (coarse) - Retail,39.905,Rajshahi Division,
8/15/2017,Rice (coarse) - Retail,41.1967,Rajshahi Division,
9/15/2017,Rice (coarse) - Retail,25.32,Rajshahi Division,
10/15/2017,Rice (coarse) - Retail,25.32,Rajshahi Division,
11/15/2017,Rice (coarse) - Retail,24.5,Rajshahi Division,
12/15/2017,Rice (coarse) - Retail,39.268,Rajshahi Division,
1/15/2018,Rice (coarse) - Retail,39.608,Rajshahi Division,
2/15/2018,Rice (coarse) - Retail,40.136,Rajshahi Division,
3/15/2018,Rice (coarse) - Retail,39.23,Rajshahi Division,
4/15/2018,Rice (coarse) - Retail,37.5,Rajshahi Division,
5/15/2018,Rice (coarse) - Retail,37.418,Rajshahi Division,
6/15/2018,Rice (coarse) - Retail,36.574,Rajshahi Division,
7/15/2018,Rice (coarse) - Retail,36.704,Rajshahi Division,
8/15/2018,Rice (coarse) - Retail,35.845,Rajshahi Division,
9/15/2018,Rice (coarse) - Retail,35.305,Rajshahi Division,
10/15/2018,Rice (coarse) - Retail,34.551,Rajshahi Division,
11/15/2018,Rice (coarse) - Retail,33.267,Rajshahi Division,
12/15/2018,Rice (coarse) - Retail,30.632,Rajshahi Division,
1/15/2019,Rice (coarse) - Retail,30.9,Rajshahi Division,
2/15/2019,Rice (coarse) - Retail,29.71,Rajshahi Division,
3/15/2019,Rice (coarse) - Retail,28.4,Rajshahi Division,
4/15/2019,Rice (coarse) - Retail,27.69,Rajshahi Division,
5/15/2019,Rice (coarse) - Retail,28.07,Rajshahi Division,
6/15/2019,Rice (coarse) - Retail,27.79,Rajshahi Division,
9/15/2019,Rice (coarse) - Retail,28.7666,Rajshahi Division,
10/15/2019,Rice (coarse) - Retail,28.7,Rajshahi Division,
11/15/2019,Rice (coarse) - Retail,29.9,Rajshahi Division,
12/15/2019,Rice (coarse) - Retail,29,Rajshahi Division,
1/15/2020,Rice (coarse) - Retail,28.2,Rajshahi Division,
2/15/2020,Rice (coarse) - Retail,29.3,Rajshahi Division,
3/15/2020,Rice (coarse) - Retail,31.2,Rajshahi Division,
5/15/2020,Rice (coarse) - Retail,38.6,Rajshahi Division,
6/15/2020,Rice (coarse) - Retail,38.675,Rajshahi Division,
7/15/2020,Rice (coarse) - Retail,39,Sirajgonj Sadar,
8/15/2020,Rice (coarse) - Retail,40.6,Sirajgonj Sadar,
9/15/2020,Rice (coarse) - Retail,43.915,Sirajgonj Sadar,
10/15/2020,Rice (coarse) - Retail,44.5925,Sirajgonj Sadar,
11/15/2020,Rice (coarse) - Retail,45,Sirajgonj Sadar,
12/15/2020,Rice (coarse) - Retail,44.5,Rajshahi Sadar,
1/15/2021,Rice (coarse) - Retail,46.5,Rajshahi Sadar,
2/15/2021,Rice (coarse) - Retail,46.5,Rajshahi Sadar,
3/15/2021,Rice (coarse) - Retail,46.5,Rajshahi Sadar,
4/15/2021,Rice (coarse) - Retail,46.5,Rajshahi Sadar,
5/15/2021,Rice (coarse) - Retail,46.5,Rajshahi Sadar,
6/15/2021,Rice (coarse) - Retail,45.75,Nawabgonj Sadar,
7/15/2021,Rice (coarse) - Retail,47.5,Nawabgonj Sadar,
8/15/2021,Rice (coarse) - Retail,47.5,Nawabgonj Sadar,
9/15/2021,Rice (coarse) - Retail,45.02,Nawabgonj Sadar,
10/15/2021,Rice (coarse) - Retail,44.5,Nawabgonj Sadar,
11/15/2021,Rice (coarse) - Retail,44.5,Rajshahi Sadar,
12/15/2021,Rice (coarse) - Retail,44.5,Rajshahi Sadar,
